# Verified upstream URL for every license file the notices document links.
# Generated by hack/verify-license-urls.sh. Each URL was fetched and its
# sha256 matched against the vendored copy, so no entry is a dead or wrong link.
# Covers the shipped set only: build- and test-only dependencies are excluded.
# module	version	license-path	url
github.com/Masterminds/semver/v3	v3.5.0	LICENSE.txt	https://github.com/Masterminds/semver/blob/v3.5.0/LICENSE.txt
github.com/NVIDIA/go-nvlib	v0.12.0	LICENSE	https://github.com/NVIDIA/go-nvlib/blob/v0.12.0/LICENSE
github.com/NVIDIA/go-nvlib	v0.12.0	NOTICE	https://github.com/NVIDIA/go-nvlib/blob/v0.12.0/NOTICE
github.com/NVIDIA/go-nvml	v0.13.3-1	LICENSE	https://github.com/NVIDIA/go-nvml/blob/v0.13.3-1/LICENSE
github.com/cilium/ebpf	v0.8.0	LICENSE	https://github.com/cilium/ebpf/blob/v0.8.0/LICENSE
github.com/containerd/log	v0.1.0	LICENSE	https://github.com/containerd/log/blob/v0.1.0/LICENSE
github.com/containerd/nri	v0.12.1	LICENSE	https://github.com/containerd/nri/blob/v0.12.1/LICENSE
github.com/containerd/ttrpc	v1.2.7	LICENSE	https://github.com/containerd/ttrpc/blob/v1.2.7/LICENSE
github.com/cyphar/filepath-securejoin	v0.7.0	COPYING.md	https://github.com/cyphar/filepath-securejoin/blob/v0.7.0/COPYING.md
github.com/cyphar/filepath-securejoin	v0.7.0	LICENSE.BSD	https://github.com/cyphar/filepath-securejoin/blob/v0.7.0/LICENSE.BSD
github.com/cyphar/filepath-securejoin	v0.7.0	LICENSE.MPL-2.0	https://github.com/cyphar/filepath-securejoin/blob/v0.7.0/LICENSE.MPL-2.0
github.com/fsnotify/fsnotify	v1.7.0	LICENSE	https://github.com/fsnotify/fsnotify/blob/v1.7.0/LICENSE
github.com/google/uuid	v1.6.0	LICENSE	https://github.com/google/uuid/blob/v1.6.0/LICENSE
github.com/knqyf263/go-plugin	v0.9.0	LICENSE	https://github.com/knqyf263/go-plugin/blob/v0.9.0/LICENSE
github.com/moby/sys/capability	v0.4.0	LICENSE	https://github.com/moby/sys/blob/capability/v0.4.0/capability/LICENSE
github.com/moby/sys/mountinfo	v0.7.2	LICENSE	https://github.com/moby/sys/blob/mountinfo/v0.7.2/LICENSE
github.com/moby/sys/reexec	v0.1.0	LICENSE	https://github.com/moby/sys/blob/reexec/v0.1.0/LICENSE
github.com/opencontainers/cgroups	v0.0.7	LICENSE	https://github.com/opencontainers/cgroups/blob/v0.0.7/LICENSE
github.com/opencontainers/runc	v1.4.3	LICENSE	https://github.com/opencontainers/runc/blob/v1.4.3/LICENSE
github.com/opencontainers/runc	v1.4.3	NOTICE	https://github.com/opencontainers/runc/blob/v1.4.3/NOTICE
github.com/opencontainers/runtime-spec	v1.2.0	LICENSE	https://github.com/opencontainers/runtime-spec/blob/v1.2.0/LICENSE
github.com/opencontainers/runtime-spec	v1.3.0	LICENSE	https://github.com/opencontainers/runtime-spec/blob/v1.3.0/LICENSE
github.com/opencontainers/runtime-tools	v0.9.1-0.20251114084447-edf4cb3d2116	LICENSE	https://github.com/opencontainers/runtime-tools/blob/edf4cb3d2116/LICENSE
github.com/pelletier/go-toml	v1.9.5	LICENSE	https://github.com/pelletier/go-toml/blob/v1.9.5/LICENSE
github.com/prometheus/procfs	v0.21.1	LICENSE	https://github.com/prometheus/procfs/blob/v0.21.1/LICENSE
github.com/prometheus/procfs	v0.21.1	NOTICE	https://github.com/prometheus/procfs/blob/v0.21.1/NOTICE
github.com/sirupsen/logrus	v1.9.4	LICENSE	https://github.com/sirupsen/logrus/blob/v1.9.4/LICENSE
github.com/tetratelabs/wazero	v1.11.0	LICENSE	https://github.com/tetratelabs/wazero/blob/v1.11.0/LICENSE
github.com/tetratelabs/wazero	v1.11.0	NOTICE	https://github.com/tetratelabs/wazero/blob/v1.11.0/NOTICE
github.com/urfave/cli-altsrc/v3	v3.1.0	LICENSE	https://github.com/urfave/cli-altsrc/blob/v3.1.0/LICENSE
github.com/urfave/cli/v3	v3.10.1	LICENSE	https://github.com/urfave/cli/blob/v3.10.1/LICENSE
golang.org/x/mod	v0.38.0	LICENSE	https://go.googlesource.com/mod/+/refs/tags/v0.38.0/LICENSE
golang.org/x/mod	v0.38.0	PATENTS	https://go.googlesource.com/mod/+/refs/tags/v0.38.0/PATENTS
golang.org/x/sys	v0.46.0	LICENSE	https://go.googlesource.com/sys/+/refs/tags/v0.46.0/LICENSE
golang.org/x/sys	v0.46.0	PATENTS	https://go.googlesource.com/sys/+/refs/tags/v0.46.0/PATENTS
