# Upstream repository for each vendored module.
# Generated by hack/resolve-module-repos.sh from the module proxy Origin,
# the go-import meta tag, and the github.com path shape. Not hand-edited.
# module	repo-url	subdir
cyphar.com/go-pathrs	https://github.com/cyphar/libpathrs	go-pathrs
github.com/Masterminds/semver/v3	https://github.com/Masterminds/semver	
github.com/NVIDIA/go-nvlib	https://github.com/NVIDIA/go-nvlib	
github.com/NVIDIA/go-nvml	https://github.com/NVIDIA/go-nvml	
github.com/cilium/ebpf	https://github.com/cilium/ebpf	
github.com/containerd/log	https://github.com/containerd/log	
github.com/containerd/nri	https://github.com/containerd/nri	
github.com/containerd/ttrpc	https://github.com/containerd/ttrpc	
github.com/cyphar/filepath-securejoin	https://github.com/cyphar/filepath-securejoin	
github.com/davecgh/go-spew	https://github.com/davecgh/go-spew	
github.com/fsnotify/fsnotify	https://github.com/fsnotify/fsnotify	
github.com/google/uuid	https://github.com/google/uuid	
github.com/hashicorp/errwrap	https://github.com/hashicorp/errwrap	
github.com/knqyf263/go-plugin	https://github.com/knqyf263/go-plugin	
github.com/kr/text	https://github.com/kr/text	
github.com/moby/sys/capability	https://github.com/moby/sys	capability
github.com/moby/sys/mountinfo	https://github.com/moby/sys	mountinfo
github.com/moby/sys/reexec	https://github.com/moby/sys	reexec
github.com/moby/sys/symlink	https://github.com/moby/sys	symlink
github.com/opencontainers/cgroups	https://github.com/opencontainers/cgroups	
github.com/opencontainers/runc	https://github.com/opencontainers/runc	
github.com/opencontainers/runtime-spec	https://github.com/opencontainers/runtime-spec	
github.com/opencontainers/runtime-spec	https://github.com/opencontainers/runtime-spec	
github.com/opencontainers/runtime-tools	https://github.com/opencontainers/runtime-tools	
github.com/pelletier/go-toml	https://github.com/pelletier/go-toml	
github.com/pmezard/go-difflib	https://github.com/pmezard/go-difflib	
github.com/prometheus/procfs	https://github.com/prometheus/procfs	
github.com/rogpeppe/go-internal	https://github.com/rogpeppe/go-internal	
github.com/sirupsen/logrus	https://github.com/sirupsen/logrus	
github.com/stretchr/testify	https://github.com/stretchr/testify	
github.com/tetratelabs/wazero	https://github.com/tetratelabs/wazero	
github.com/urfave/cli-altsrc/v3	https://github.com/urfave/cli-altsrc	
github.com/urfave/cli/v3	https://github.com/urfave/cli	
github.com/xeipuuv/gojsonpointer	https://github.com/xeipuuv/gojsonpointer	
golang.org/x/mod	https://go.googlesource.com/mod	
golang.org/x/sys	https://go.googlesource.com/sys	
golang.org/x/sys	https://go.googlesource.com/sys	
golang.org/x/xerrors	https://go.googlesource.com/xerrors	
google.golang.org/genproto/googleapis/rpc	https://github.com/googleapis/go-genproto	googleapis/rpc
google.golang.org/grpc	https://github.com/grpc/grpc-go	
google.golang.org/protobuf	https://go.googlesource.com/protobuf	
gopkg.in/yaml.v3	https://github.com/go-yaml/yaml	
sigs.k8s.io/yaml	https://github.com/kubernetes-sigs/yaml	
tags.cncf.io/container-device-interface	https://github.com/cncf-tags/container-device-interface	
tags.cncf.io/container-device-interface/specs-go	https://github.com/cncf-tags/container-device-interface	specs-go
